Job ID,Job Link,Resume Tried,Date listed,Date Tried,Assumed Reason,Stack Trace,External Job link,Screenshot Name
4141615540,https://www.linkedin.com/jobs/view/4141615540,Pending,2025-02-04 21:40:18.685882,2025-02-09 21:40:18.988989,Found a Bad Word in About Job,"
About the job
About Ideawise
At Ideawise, we build communities that empower people to live authentic and fulfilled lives. Our mission is to create impactful user experiences, and we’re seeking multiple Frontend Developers for the Acquisition, Rentention and Monetization Squads. Have a look at the description of one of these profiles, the Frontend Developer Acquisition Squad, below.
We need this Frontend Developer for the Acquisition Squad to tackle critical landing page, user registration, onboarding, and activation challenges. If left unfilled, we risk missing crucial opportunities to convert potential users—especially on mobile. Timely hiring ensures we can implement and test new acquisition strategies quickly, staying ahead in a competitive market.

Job Profile: 
The Acquisition Squad is responsible for driving new user signups, optimizing user funnels, and ensuring a high-performing landing experience for both POP and FET.
As we expand our marketing campaigns and user acquisition strategies, we need a seasoned Frontend Developer to create mobile-friendly landing pages, sign-up flows, and promotional components that convert efficiently.
Our success depends on delivering fast, responsive experiences that motivate potential users to join our platforms.
By rapidly iterating on A/B tests and data-driven improvements, this role will help us attract the right audience, improve registration, onboarding, and activation, which are the foundation for long-term user engagement.

Goals / OKRs Contribution:
Boost conversion rates across all acquisition funnels, particularly on mobile devices.
Implement and optimize landing pages and sign-up flows to support marketing campaigns and reduce bounce rates.
Crossfunctional collaboration with multi-disciplinary professionals (Data, Marketing, Product, Design) to ensure a cohesive brand and user experience.
Drive short-term success by releasing impactful UI/UX improvements and mid-term growth by continuously refining the acquisition journey.
Frontend Developers work on Ideawise products. This includes the ones facing users and the internal services. They work together with Product Owners, Designers, and Backend Developers to achieve common goals. They report to the Development Manager.

Tech Requirements:
Professional experience with React/Redux, or another modern JavaScript web framework ( VueJS, Angular, etc)
Experience using Git in a professional/workplace environment
A solid understanding of core web and browser concepts (eg. how the browser parses and constructs a web page)
A solid understanding of semantic HTML, CSS, and core JavaScript concepts.
Experience with performance and optimization problems and a demonstrated ability to both diagnose and prevent these problems
Experience working with Scrum
Hands on coding focusing on the eXtreme Programming practices
Extensive professional experience with Typescript
Strong knowledge of architecture and development patterns (e.g. Microservices, CQRS, Domain Driven Design, Event Sourcing etc.)
A passion for continuous learning and sharing knowledge with others
Experience with writing automated test
An appreciation for good development practices (Test-driven development, pair programming, continuous integration/deployment)

Nice to have:
Working knowledge of Node.js, the latest Webpack.
Working knowledge of PHP, Go, or other Backend programming language
Experience in the social network industry
Product-focused company experience
Experience working with a remote team
Experience working with a global or multicultural team
Experience contributing to open-source software

What type of person are we looking for?
Attitudes (not just skills) similar to a Tech Lead 
Go beyond “tickets.” We want someone who’s proactive—thinking about the best solutions rather than just executing tasks mindlessly.
Know the product you’re working on. Understand how features work and the data behind them. If you’re only here to “code and nothing more,” it might not be a good match. (P.S. If having a dating app on your phone could cause “relationship issues,” we’ll help you explain it!) 
Propose ideas. We don’t believe in “That’s the PM/PO’s job.” If you’ve seen a feature elsewhere that could fit, or you notice a way to improve something, let us know. The best ideas often come from unexpected places.
Help the team understand the tech landscape. You don’t need to give a masterclass on Expo or complex React Native concepts, but a bit of “evangelizing” is welcome—explain what we’ve built, how it works, and why things take the time they do.
Bring good vibes. You don’t have to share your personal life (unless you want to!), but engage with the team, be curious, and stay open to learning from their day-to-day. We save long faces for funerals. 

Education
We don’t care about the degree you have or which university you attended. What truly matters to us is what you know and, more importantly, how you apply it. That’s why your academic background isn’t as important as what you can demonstrate in our interviews, both technical and non-technical.

Why Join Us?
Impactful Work: Shape the future of our app monetization strategy.
Global Team: Collaborate with talented professionals from around the world.
Remote Flexibility: Work from anywhere with flexible hours.
Growth Opportunities: Access to training, mentorship, and career advancement.

How to Apply
Are you ready to take your data analysis skills to the next level? Apply now!

Contains bad word ""PHP"". Skipping this job!
",Skipped,Not Available
4143456087,https://www.linkedin.com/jobs/view/4143456087,Pending,2025-02-04 21:48:24.464944,2025-02-09 21:48:24.543996,Found a Bad Word in About Job,"
About the job
Working Days and Hours: Monday to Friday, 9 AM - 5:30 PM (UK Hours); Potential for Flexible Hours
Location: Remote/Online
Salary Range: Attractive Top of Market Salary (paid in GBP/USD)


Palm Outsourcing helps international companies find talent in Egypt.

Please note, we will only be considering excellent applicants with solid demonstrable experience. If you do not have clear and evidenced experience, you will be immediately rejected, so please do not apply.

Contrastingly if you feel you are a right fit relative to the requirements below, please proceed.


Opportunity Overview
Our client is an innovative technology company specializing in web scraping solutions within the gambling and social media industries. They focus on extracting, processing, and analyzing large-scale data from web platforms to provide critical insights for their clients. As part of their expansion, they are seeking a Junior Web Scraping Developer to enhance their data collection capabilities and support ongoing development efforts.
This role presents an exciting opportunity to develop hands-on experience in web scraping, automation, and data processing while working with cutting-edge technologies. If you're looking to apply your React, Java, or .NET skills to real-world scraping applications, this is the perfect opportunity for you.


Role Description
We’re looking for a Junior Web Scraping Developer to join our client’s team. If you’re a curious, detail-oriented developer with a passion for working with web technologies and data, this role will allow you to build, maintain, and optimize web scraping scripts that extract valuable insights for the business. You’ll gain exposure to large-scale data extraction techniques while working closely with experienced engineers to refine and improve scraping methodologies.


Key Responsibilities
Web Scraping Development – Build and maintain web scrapers using React, Java, or .NET to extract structured data from web sources.
Data Extraction & Processing – Work with APIs and web page parsing techniques to collect and clean large datasets.
Front-End Parsing – Identify and extract relevant data from web pages by analyzing HTML, JavaScript, and structured elements.
Bug Fixing & Optimization – Debug and refine scraping scripts to improve efficiency, reliability, and data accuracy.
Performance & Compliance – Ensure scrapers operate efficiently while minimizing risks such as IP blocking and CAPTCHA detection.
Collaboration & Learning – Work alongside senior engineers to enhance scraping methodologies and develop best practices.


Minimum Qualifications
Programming Experience – Proficiency in React, Java, or .NET, with a focus on front-end or back-end web development.
Basic Web Scraping Knowledge – Familiarity with libraries and frameworks such as Puppeteer, BeautifulSoup, Scrapy, or Selenium.
API Integration – Experience working with REST APIs, handling JSON/XML data formats, and making HTTP requests.
Problem-Solving Mindset – Ability to analyze data extraction challenges and propose technical solutions.
English Communication – Strong written and verbal communication skills to collaborate effectively within a remote team.


Company Benefits
Top-of-the-market pay.
Remote working.
Potential for flexible hours.
Becoming a part of Palm Outsourcing, where your performance is rewarded in long-term job security and continued growth opportunities.


Thank you for taking the time to apply, we look forward to reviewing your application.

Contains bad word "".NET"". Skipping this job!
",Skipped,Not Available
4112918121,https://www.linkedin.com/jobs/view/4112918121,Pending,2025-01-10 21:48:29.638190,2025-02-09 21:48:29.690818,Required experience is high,"
About the job
We’re Hiring: Front-End Developer (ReactJS) | Remote Role for a Prestigious Bank in Dubai

Are you an experienced Front-End Developer passionate about building seamless web applications? Do you thrive in a dynamic, Agile environment? If yes, here’s your opportunity to join a leading bank in Dubai through Traverse!

Role Highlights

Position: Front-End Developer
Location: Remote
Industry: Banking
Experience: 8+ years (6+ years relevant)

Mandatory Skills

Expertise in ReactJS, Redux, TypeScript, JavaScript, HTML, and CSS.
Proficiency with tools like Webpack, Gulp, and Grunt.
Experience in unit testing using Jest or Mocha.
Skilled in REST API integration and version control tools like Git.
Proven ability to translate mockups into pixel-perfect, functional web pages.
Strong background in building large, modular codebases.

Desired Skills

In-depth knowledge of the web development process (design to deployment).
Familiarity with Azure DevOps, SOAP/REST web services, Docker, and Kubernetes.
Aesthetic sense for layout design and optimization.

Roles & Responsibilities

Maintain and improve the platform’s codebase.
Write scalable, testable, and maintainable code.
Ensure UI/UX designs are technically feasible and optimized for performance.
Recommend best practices and tools for feature implementation.
Review and iterate code for efficiency and scalability.

Educational Background: Bachelor’s degree in Computer Science, Engineering, or equivalent work experience.

Why Join Us?

Work remotely while contributing to cutting-edge banking solutions.
Be part of an innovative team focused on creating seamless digital experiences.

Apply now! Send your CV to recruiter@traverse-ts.com

Let’s build the future of banking together!

#FrontEndDeveloper #ReactJS #RemoteJobs #DubaiJobs #TechCareers #BankingIT #HiringNow

Experience required 8 > Current Experience 5. Skipping this job!
",Skipped,Not Available
4132273934,https://www.linkedin.com/jobs/view/4132273934,Pending,2025-02-07 21:49:19.537252,2025-02-09 21:49:24.840302,Probably didn't find Apply button or unable to switch tabs.,"Message: 
Stacktrace:
	GetHandleVerifier [0x00DD0A33+25139]
	(No symbol) [0x00D61134]
	(No symbol) [0x00C40523]
	(No symbol) [0x00C88387]
	(No symbol) [0x00C886DB]
	(No symbol) [0x00CD0FC2]
	(No symbol) [0x00CACFB4]
	(No symbol) [0x00CCE738]
	(No symbol) [0x00CACD66]
	(No symbol) [0x00C7BD99]
	(No symbol) [0x00C7D0D4]
	GetHandleVerifier [0x010D3A23+3183139]
	GetHandleVerifier [0x010EFE8A+3298954]
	GetHandleVerifier [0x010EA462+3275874]
	GetHandleVerifier [0x00E67770+642928]
	(No symbol) [0x00D6A01D]
	(No symbol) [0x00D66E48]
	(No symbol) [0x00D66FE7]
	(No symbol) [0x00D59CE0]
	BaseThreadInitThunk [0x75E2FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x7761809E+286]
	RtlGetAppContainerNamedObjectPath [0x7761806E+238]
",Easy Applied,Not Available
4130311026,https://www.linkedin.com/jobs/view/4130311026,Pending,2025-01-26 21:50:07.664099,2025-02-09 21:50:07.722482,Found a Bad Word in About Job,"
About the job
We are searching for those who dare to do great work—the kind of work that pushes the boundaries of what is possible, that demands courage, creativity, and an unrelenting pursuit of excellence. At Kindred, we believe that good enough is the enemy of greatness, and the easy path leads nowhere extraordinary. We are building something profound: AI with heart—companions that don’t just assist but connect, inspire, and transform how humanity relates to technology. This is not a job for the faint-hearted; it’s a calling for those willing to sacrifice comfort for challenge, the familiar for the groundbreaking. In return, you’ll have the rare opportunity to shape the very relationships we form with AI worldwide—to influence how people perceive and feel about technology itself. If you seek purpose over ease and greatness over mediocrity, read on. If not, this isn’t for you. 

Primary Responsibilities:
Architect and implement scalable frontend solutions using React and TypeScript
Lead UI/UX implementations, technical design discussions, and architecture improvements
Develop pixel-perfect designs with micro-interactions and animations
Integrate APIs, implement new features, and develop internal tools
Maintain high code quality standards and comprehensive frontend monitoring

Technical Requirements:
5+ years of professional software development experience
Expertise in: Modern React, TypeScript, frontend performance optimization, and testing
Experience with: State management, responsive design, OAuth/OIDC, REST APIs
Working knowledge of: Git/CI/CD, .NET Core, browser extensions, Web3 (nice-to-have)

Essential Skills and Attributes:
Outstanding attention to detail in UI implementation
Excellent communication skills across technical and non-technical teams
Strong iterative mindset and ability to rapidly prototype and refine
Experience working with high-standard stakeholders
Self-motivated with ability to thrive in fast-paced, changing environments
Strong system design and problem-solving abilities

Nice to Have:
Experience with WebGL frameworks (e.g., PixiJS), Unity, or interactive applications
Background in gaming or blockchain technologies

At Kindred, we offer more than just a job—we offer a mission. Expect long but flexible hours, fueled by your passion and creativity. Your compensation will reflect the exceptional value you bring, consistently surpassing industry averages. Work from anywhere in the world, enjoying full remote flexibility. Embrace the autonomy to shape your role and the freedom to execute your vision. Most importantly, prepare to be challenged, supported, and inspired to produce your greatest work yet. Join us in redefining the future of human-AI interaction.

Contains bad word "".NET"". Skipping this job!
",Skipped,Not Available
4136589129,https://www.linkedin.com/jobs/view/4136589129,Pending,2025-02-02 21:50:38.669228,2025-02-09 21:50:38.708607,Found a Bad Word in About Job,"
About the job
Pipeline Talent is looking for a skilled Full Stack Developer to join our innovative tech team. In this role, you will be responsible for designing and implementing high-quality web applications, both on the front-end and back-end. You will work closely with product managers, designers, and other developers to deliver robust and scalable solutions that meet our clients' needs. The ideal candidate should have a strong understanding of various programming languages and frameworks, a passion for solving problems, and the ability to work in a collaborative environment. If you are eager to immerse yourself in exciting projects and contribute to the technological growth of our company, we want to hear from you!

Responsibilities

Develop and maintain web applications using modern frameworks and technologies
Design and implement RESTful APIs and services
Collaborate with UI/UX designers to translate designs into functional interfaces
Optimize applications for maximum speed and scalability
Conduct code reviews and troubleshoot issues to ensure quality code
Stay updated with emerging technologies and industry trends
Participate in agile development processes and contribute to project planning


Requirements

Bachelor's degree in Computer Science, Software Engineering, or a related field
Proven experience as a Full Stack Developer or similar role
Strong proficiency in front-end technologies such as HTML, CSS, and JavaScript frameworks (e.g., React, Angular, Vue)
Experience with back-end technologies like Node.js, Python, Ruby on Rails, or Java
Understanding of database technologies, both SQL and NoSQL (e.g., PostgreSQL, MongoDB)
Familiarity with version control systems, particularly Git
Excellent problem-solving skills and attention to detail
Strong communication and teamwork abilities


Benefits

A collaborative and supportive work environment
Opportunities to enhance your design skills and portfolio

Contains bad word ""Ruby"". Skipping this job!
",Skipped,Not Available
4141612861,https://www.linkedin.com/jobs/view/4141612861,Previous resume,2025-02-04 21:51:42.719530,2025-02-09 21:51:47.487830,Problem in Easy Applying,"Message: stale element reference: stale element not found in the current frame
  (Session info: chrome=133.0.6943.60); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
	GetHandleVerifier [0x00DD0A33+25139]
	(No symbol) [0x00D61134]
	(No symbol) [0x00C40523]
	(No symbol) [0x00C46F41]
	(No symbol) [0x00C4904A]
	(No symbol) [0x00C490C7]
	(No symbol) [0x00C8E532]
	(No symbol) [0x00C8C9C4]
	(No symbol) [0x00C8A557]
	(No symbol) [0x00C8981D]
	(No symbol) [0x00C7DEC5]
	(No symbol) [0x00CACF6C]
	(No symbol) [0x00C7D954]
	(No symbol) [0x00CAD1E4]
	(No symbol) [0x00CCE738]
	(No symbol) [0x00CACD66]
	(No symbol) [0x00C7BD99]
	(No symbol) [0x00C7D0D4]
	GetHandleVerifier [0x010D3A23+3183139]
	GetHandleVerifier [0x010EFE8A+3298954]
	GetHandleVerifier [0x010EA462+3275874]
	GetHandleVerifier [0x00E67770+642928]
	(No symbol) [0x00D6A01D]
	(No symbol) [0x00D66E48]
	(No symbol) [0x00D66FE7]
	(No symbol) [0x00D59CE0]
	BaseThreadInitThunk [0x75E2FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x7761809E+286]
	RtlGetAppContainerNamedObjectPath [0x7761806E+238]
",Easy Applied,Not Available
4070596103,https://www.linkedin.com/jobs/view/4070596103,Pending,2025-02-05 21:52:08.491798,2025-02-09 21:52:13.789050,Probably didn't find Apply button or unable to switch tabs.,"Message: 
Stacktrace:
	GetHandleVerifier [0x00DD0A33+25139]
	(No symbol) [0x00D61134]
	(No symbol) [0x00C40523]
	(No symbol) [0x00C88387]
	(No symbol) [0x00C886DB]
	(No symbol) [0x00CD0FC2]
	(No symbol) [0x00CACFB4]
	(No symbol) [0x00CCE738]
	(No symbol) [0x00CACD66]
	(No symbol) [0x00C7BD99]
	(No symbol) [0x00C7D0D4]
	GetHandleVerifier [0x010D3A23+3183139]
	GetHandleVerifier [0x010EFE8A+3298954]
	GetHandleVerifier [0x010EA462+3275874]
	GetHandleVerifier [0x00E67770+642928]
	(No symbol) [0x00D6A01D]
	(No symbol) [0x00D66E48]
	(No symbol) [0x00D66FE7]
	(No symbol) [0x00D59CE0]
	BaseThreadInitThunk [0x75E2FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x7761809E+286]
	RtlGetAppContainerNamedObjectPath [0x7761806E+238]
",Easy Applied,Not Available
4141113825,https://www.linkedin.com/jobs/view/4141113825,Pending,2025-02-03 21:52:25.116161,2025-02-09 21:52:33.671740,Problem in Easy Applying,"Message: 
Stacktrace:
	GetHandleVerifier [0x00DD0A33+25139]
	(No symbol) [0x00D61134]
	(No symbol) [0x00C40523]
	(No symbol) [0x00C88387]
	(No symbol) [0x00C886DB]
	(No symbol) [0x00CD0FC2]
	(No symbol) [0x00CACFB4]
	(No symbol) [0x00CCE738]
	(No symbol) [0x00CACD66]
	(No symbol) [0x00C7BD99]
	(No symbol) [0x00C7D0D4]
	GetHandleVerifier [0x010D3A23+3183139]
	GetHandleVerifier [0x010EFE8A+3298954]
	GetHandleVerifier [0x010EA462+3275874]
	GetHandleVerifier [0x00E67770+642928]
	(No symbol) [0x00D6A01D]
	(No symbol) [0x00D66E48]
	(No symbol) [0x00D66FE7]
	(No symbol) [0x00D59CE0]
	BaseThreadInitThunk [0x75E2FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x7761809E+286]
	RtlGetAppContainerNamedObjectPath [0x7761806E+238]
",Easy Applied,Not Available
4141498366,https://www.linkedin.com/jobs/view/4141498366,Pending,2025-02-04 21:52:58.434197,2025-02-09 21:53:00.620436,Probably didn't find Apply button or unable to switch tabs.,"Message: element click intercepted: Element <button aria-label=""Easy Apply to Junior Frontend Engineer (React) - Montreal (Hybrid) - up to $150k + HUGE BONUS at Hunter Bond"" id=""ember1783"" class=""jobs-apply-button
         artdeco-button artdeco-button--3 artdeco-button--primary ember-view"" data-job-id=""4141498366"" data-live-test-job-apply-button="""">...</button> is not clickable at point (992, 340). Other element would receive the click: <div data-test-modal-container="""" aria-hidden=""false"" id=""ember2026"" class=""artdeco-modal-overlay artdeco-modal-overlay--layer-default artdeco-modal-overlay--is-top-layer  ember-view"">...</div>
  (Session info: chrome=133.0.6943.60)
Stacktrace:
	GetHandleVerifier [0x00DD0A33+25139]
	(No symbol) [0x00D61134]
	(No symbol) [0x00C40523]
	(No symbol) [0x00C8E600]
	(No symbol) [0x00C8C9C4]
	(No symbol) [0x00C8A557]
	(No symbol) [0x00C8981D]
	(No symbol) [0x00C7DEC5]
	(No symbol) [0x00CACF6C]
	(No symbol) [0x00C7D954]
	(No symbol) [0x00CAD1E4]
	(No symbol) [0x00CCE738]
	(No symbol) [0x00CACD66]
	(No symbol) [0x00C7BD99]
	(No symbol) [0x00C7D0D4]
	GetHandleVerifier [0x010D3A23+3183139]
	GetHandleVerifier [0x010EFE8A+3298954]
	GetHandleVerifier [0x010EA462+3275874]
	GetHandleVerifier [0x00E67770+642928]
	(No symbol) [0x00D6A01D]
	(No symbol) [0x00D66E48]
	(No symbol) [0x00D66FE7]
	(No symbol) [0x00D59CE0]
	BaseThreadInitThunk [0x75E2FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x7761809E+286]
	RtlGetAppContainerNamedObjectPath [0x7761806E+238]
",Easy Applied,Not Available
